,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
4, , ,"[TRVch# 151 Dt:28/02/2018] , Billno-KNG115372017100033",1,3240,3240,0,0
5, , ,"[TRVch# 153 Dt:28/02/2018] , Billno-KNG115372017100039",1,47986,0,0,47986
6, , ,"[TRVch# 63 Dt:07/02/2018] , Billno-KNG11537012018-001",1,94464,0,136,94328
7, , ,"[TRVch# 64 Dt:07/02/2018] , Billno-KNG11537012018-002",1,46179,15001,530,30648
8, ,05-2029-00-103-04-S00N-V-N-01-SALARIES,Total,2,105756,17918,860,86978
9, , ,"[TRVch# 152 Dt:28/02/2018] , Billno-KNG115372017100034",1,6930,3918,0,3012
10, , ,"[TRVch# 65 Dt:07/02/2018] , Billno-KNG11537012018-003",1,98826,14000,860,83966
11, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,2,155587,31979,2139,121469
12, , ,"[TRVch# 140 Dt:07/02/2018] , Billno-KNG11537012018-004",1,145843,25001,2139,118703
13, , ,"[TRVch# 329 Dt:28/02/2018] , Billno-KNG115372017100035",1,9744,6978,0,2766
14, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,4,121821,24494,8696,88631
15, , ,"[TRVch# 141 Dt:07/02/2018] , Billno-KNG11537012018-005",1,51639,0,6404,45235
16, , ,"[TRVch# 142 Dt:07/02/2018] , Billno-KNG11537012018-006",1,61958,20000,1918,40040
17, , ,"[TRVch# 330 Dt:28/02/2018] , Billno-KNG115372017100036",1,3730,0,374,3356
18, , ,"[TRVch# 331 Dt:28/02/2018] , Billno-KNG115372017100037",1,4494,4494,0,0
0,Grand Total, , ,15,713163,177381,71717,464065
1,KNG11-537-TEHSILDAR KASWAN KOTLA,Total, ,15,713163,177381,71717,464065
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,5,197391,0,14826,182565
3, , ,"[TRVch# 429 Dt:31/03/2018] , Billno-KNG115372017100054",1,17810,0,0,17810
4, , ,"[TRVch# 85 Dt:08/03/2018] , Billno-KNG11537022018-005",1,98438,0,14826,83612
5, , ,"[TRVch# 87 Dt:08/03/2018] , Billno-KNG115372017100048",1,58167,0,0,58167
