,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
8, , ,"[TRVch# 744 Dt:07/04/2018] , Billno-MDI05208032018-005",1,17270,0,15,17255
9, , ,"[TRVch# 745 Dt:07/04/2018] , Billno-MDI05208032018-006",1,117278,0,3862,113416
0,Grand Total, , ,7,424459,75000,15381,334078
1,MDI05-208-PR SSS KHUDDI,Total, ,7,424459,75000,15381,334078
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,108943,0,3324,105619
3, , ,"[TRVch# 825 Dt:10/05/2018] , Billno-MDI05208042018-001",1,17270,0,0,17270
4, , ,"[TRVch# 826 Dt:10/05/2018] , Billno-MDI05208042018-002",1,91673,0,3324,88349
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,308766,75000,12057,221709
6, , ,"[TRVch# 827 Dt:10/05/2018] , Billno-MDI05208042018-003",1,97950,50000,5120,42830
7, , ,"[TRVch# 828 Dt:10/05/2018] , Billno-MDI05208042018-004",1,72218,25000,3060,44158
8, , ,"[TRVch# 829 Dt:10/05/2018] , Billno-MDI05208042018-005",1,17270,0,15,17255
9, , ,"[TRVch# 830 Dt:10/05/2018] , Billno-MDI05208042018-006",1,121328,0,3862,117466
10, ,08-2202-02-109-01-S00N-V-N-02-WAGES,Total,1,6750,0,0,6750
11, , ,"[TRVch# 2512 Dt:24/05/2018] , Billno-MDI052082018100002",1,6750,0,0,6750
0,Grand Total, , ,11,866124,75000,11895,779229
1,MDI05-208-PR SSS KHUDDI,Total, ,11,866124,75000,11895,779229
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,400000,0,0,400000
3, , ,"[TRVch# 472 Dt:21/06/2018] , Billno-MDI052082018100009",1,400000,0,0,400000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,91028,0,3324,87704
5, , ,"[TRVch# 889 Dt:08/06/2018] , Billno-MDI05208052018-001",1,17270,0,0,17270
6, , ,"[TRVch# 890 Dt:08/06/2018] , Billno-MDI05208052018-002",1,73758,0,3324,70434
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,308766,75000,8571,225195
8, , ,"[TRVch# 891 Dt:08/06/2018] , Billno-MDI05208052018-003",1,97950,50000,120,47830
9, , ,"[TRVch# 892 Dt:08/06/2018] , Billno-MDI05208052018-004",1,72218,25000,3060,44158
10, , ,"[TRVch# 893 Dt:08/06/2018] , Billno-MDI05208052018-005",1,17270,0,1529,15741
11, , ,"[TRVch# 894 Dt:08/06/2018] , Billno-MDI05208052018-006",1,121328,0,3862,117466
12, ,08-2202-02-109-01-S00N-V-N-02-WAGES,Total,1,6975,0,0,6975
13, , ,"[TRVch# 3029 Dt:21/06/2018] , Billno-MDI052082018100004",1,6975,0,0,6975
14, ,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,Total,1,2490,0,0,2490
15, , ,"[TRVch# 3046 Dt:21/06/2018] , Billno-MDI052082018100008",1,2490,0,0,2490
16, ,08-2202-02-800-01-S00N-V-N-41-GIA GENERAL (Salary),Total,2,56865,0,0,56865
17, , ,"[TRVch# 3030 Dt:21/06/2018] , Billno-MDI052082018100006",1,18955,0,0,18955
18, , ,"[TRVch# 3031 Dt:21/06/2018] , Billno-MDI052082018100003",1,37910,0,0,37910
0,Grand Total, , ,10,435811,25000,11995,398816
1,MDI05-208-PR SSS KHUDDI,Total, ,10,435811,25000,11995,398816
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,92144,0,3424,88720
3, , ,"[TRVch# 896 Dt:07/07/2018] , Billno-MDI05208062018-001",1,17270,0,0,17270
4, , ,"[TRVch# 897 Dt:07/07/2018] , Billno-MDI05208062018-002",1,74874,0,3424,71450
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,308766,25000,8571,275195
6, , ,"[TRVch# 898 Dt:07/07/2018] , Billno-MDI05208062018-003",1,97950,0,120,97830
7, , ,"[TRVch# 899 Dt:07/07/2018] , Billno-MDI05208062018-004",1,72218,25000,3060,44158
8, , ,"[TRVch# 900 Dt:07/07/2018] , Billno-MDI05208062018-005",1,17270,0,1529,15741
9, , ,"[TRVch# 901 Dt:07/07/2018] , Billno-MDI05208062018-006",1,121328,0,3862,117466
10, ,08-2202-02-109-01-S00N-V-N-02-WAGES,Total,1,6750,0,0,6750
11, , ,"[TRVch# 2698 Dt:23/07/2018] , Billno-MDI052082018100013",1,6750,0,0,6750
12, ,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,Total,1,1500,0,0,1500
13, , ,"[TRVch# 2696 Dt:23/07/2018] , Billno-MDI052082018100011",1,1500,0,0,1500
14, ,08-2202-02-109-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,1,7696,0,0,7696
15, , ,"[TRVch# 2697 Dt:23/07/2018] , Billno-MDI052082018100012",1,7696,0,0,7696
16, ,08-2202-02-800-01-S00N-V-N-41-GIA GENERAL (Salary),Total,1,18955,0,0,18955
17, , ,"[TRVch# 2699 Dt:23/07/2018] , Billno-MDI052082018100014",1,18955,0,0,18955
0,Grand Total, , ,8,1097760,0,14441,1083319
1,MDI05-208-PR SSS KHUDDI,Total, ,8,1097760,0,14441,1083319
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,700000,0,0,700000
3, , ,"[TRVch# 630 Dt:31/08/2018] , Billno-MDI052082018100017",1,700000,0,0,700000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,92144,0,4938,87206
5, , ,"[TRVch# 2106 Dt:09/08/2018] , Billno-MDI05208072018-001",1,17270,0,1514,15756
6, , ,"[TRVch# 2107 Dt:09/08/2018] , Billno-MDI05208072018-002",1,74874,0,3424,71450
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,279686,0,9503,270183
8, , ,"[TRVch# 2108 Dt:09/08/2018] , Billno-MDI05208072018-003",1,97950,0,120,97830
9, , ,"[TRVch# 2109 Dt:09/08/2018] , Billno-MDI05208072018-004",1,17270,0,1529,15741
10, , ,"[TRVch# 2110 Dt:09/08/2018] , Billno-MDI05208072018-005",1,164466,0,7854,156612
11, ,08-2202-02-109-01-S00N-V-N-02-WAGES,Total,1,6975,0,0,6975
12, , ,"[TRVch# 2162 Dt:09/08/2018] , Billno-MDI052082018100015",1,6975,0,0,6975
13, ,08-2202-02-800-01-S00N-V-N-41-GIA GENERAL (Salary),Total,1,18955,0,0,18955
14, , ,"[TRVch# 2163 Dt:09/08/2018] , Billno-MDI052082018100016",1,18955,0,0,18955
