,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
10, , ,"[TRVch# 1224 Dt:08/06/2018] , Billno-MDI09212052018-005",1,68448,20000,2560,45888
0,Grand Total, , ,7,1389649,95000,32626,1262023
1,MDI09-212-PRINCIPAL GSSS BANDHI,Total, ,7,1389649,95000,32626,1262023
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,1000000,0,0,1000000
3, , ,"[TRVch# 680 Dt:24/07/2018] , Billno-MDI092122018100003",1,1000000,0,0,1000000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,126798,25000,9111,92687
5, , ,"[TRVch# 1196 Dt:07/07/2018] , Billno-MDI09212062018-001",1,109528,25000,7582,76946
6, , ,"[TRVch# 1197 Dt:07/07/2018] , Billno-MDI09212062018-002",1,17270,0,1529,15741
7, ,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),Total,1,18751,0,0,18751
8, , ,"[TRVch# 2990 Dt:24/07/2018] , Billno-MDI092122018100004",1,18751,0,0,18751
9, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,244100,70000,23515,150585
10, , ,"[TRVch# 1198 Dt:07/07/2018] , Billno-MDI09212062018-003",1,91546,50000,14963,26583
11, , ,"[TRVch# 1199 Dt:07/07/2018] , Billno-MDI09212062018-004",1,84106,0,5992,78114
12, , ,"[TRVch# 1200 Dt:07/07/2018] , Billno-MDI09212062018-005",1,68448,20000,2560,45888
0,Grand Total, , ,5,372344,95000,32761,244583
1,MDI09-212-PRINCIPAL GSSS BANDHI,Total, ,5,372344,95000,32761,244583
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,126798,25000,9111,92687
3, , ,"[TRVch# 712 Dt:07/08/2018] , Billno-MDI09212072018-001",1,109528,25000,7582,76946
4, , ,"[TRVch# 713 Dt:07/08/2018] , Billno-MDI09212072018-002",1,17270,0,1529,15741
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,245546,70000,23650,151896
6, , ,"[TRVch# 714 Dt:07/08/2018] , Billno-MDI09212072018-003",1,91546,50000,14963,26583
7, , ,"[TRVch# 715 Dt:07/08/2018] , Billno-MDI09212072018-004",1,85552,0,6127,79425
8, , ,"[TRVch# 716 Dt:07/08/2018] , Billno-MDI09212072018-005",1,68448,20000,2560,45888
