,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
9, , ,"[TRVch# 1796 Dt:07/11/2017] , Billno-KNG07201102017-005",1,201828,0,15645,186183
10, , ,"[TRVch# 4042 Dt:30/11/2017] , Billno-KNG072012017100042",1,20168,0,2020,18148
11, , ,"[TRVch# 4043 Dt:30/11/2017] , Billno-KNG072012017100041",1,43524,39909,0,3615
12, , ,"[TRVch# 4044 Dt:30/11/2017] , Billno-KNG072012017100040",1,19524,19524,0,0
13, ,32-2202-01-789-11-S00N-V-P-41-GIA GENERAL (Salary),Total,1,16710,0,0,16710
14, , ,"[TRVch# 1887 Dt:07/11/2017] , Billno-KNG072012017100043",1,16710,0,0,16710
0,Grand Total, , ,9,1374659,277000,67093,1030566
1,KNG07-201-GSSS  KHUNDIAN,Total, ,9,1374659,277000,67093,1030566
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,463917,65000,25279,373638
3, , ,"[TRVch# 1313 Dt:06/12/2017] , Billno-KNG07201112017-001",1,276033,65000,5575,205458
4, , ,"[TRVch# 1314 Dt:06/12/2017] , Billno-KNG07201112017-002",1,187884,0,19704,168180
5, ,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,Total,3,6814,0,0,6814
6, , ,"[TRVch# 3308 Dt:30/12/2017] , Billno-KNG072012017100045",1,1104,0,0,1104
7, , ,"[TRVch# 3309 Dt:30/12/2017] , Billno-KNG072012017100047",1,250,0,0,250
8, , ,"[TRVch# 3310 Dt:30/12/2017] , Billno-KNG072012017100046",1,5460,0,0,5460
9, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,887218,212000,41814,633404
10, , ,"[TRVch# 1315 Dt:06/12/2017] , Billno-KNG07201112017-003",1,151747,60000,10065,81682
11, , ,"[TRVch# 1316 Dt:06/12/2017] , Billno-KNG07201112017-004",1,532037,152000,15464,364573
12, , ,"[TRVch# 1317 Dt:06/12/2017] , Billno-KNG07201112017-005",1,203434,0,16285,187149
