,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
7, , ,"[TRVch# 1171 Dt:07/04/2018] , Billno-MDI10226032018-004",1,55656,0,5127,50529
8, , ,"[TRVch# 1172 Dt:07/04/2018] , Billno-MDI10226032018-005",1,32222,14000,30,18192
9, , ,"[TRVch# 1173 Dt:07/04/2018] , Billno-MDI10226032018-006",1,114936,0,11607,103329
0,Grand Total, , ,6,704517,26000,17059,661458
1,MDI10-226-GSSS POKHI,Total, ,6,704517,26000,17059,661458
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,450000,0,0,450000
3, , ,"[TRVch# 590 Dt:24/05/2018] , Billno-MDI102262018100001",1,450000,0,0,450000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,91125,12000,3873,75252
5, , ,"[TRVch# 1302 Dt:10/05/2018] , Billno-MDI10226042018-001",1,30152,12000,15,18137
6, , ,"[TRVch# 1303 Dt:10/05/2018] , Billno-MDI10226042018-002",1,42222,0,3858,38364
7, , ,"[TRVch# 1304 Dt:10/05/2018] , Billno-MDI10226042018-003",1,18751,0,0,18751
8, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,163392,14000,13186,136206
9, , ,"[TRVch# 1305 Dt:10/05/2018] , Billno-MDI10226042018-004",1,32222,14000,30,18192
10, , ,"[TRVch# 1306 Dt:10/05/2018] , Billno-MDI10226042018-005",1,131170,0,13156,118014
0,Grand Total, , ,6,264501,14000,19164,231337
1,MDI10-226-GSSS POKHI,Total, ,6,264501,14000,19164,231337
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,81367,0,5674,75693
3, , ,"[TRVch# 1386 Dt:08/06/2018] , Billno-MDI10226052018-001",1,81367,0,5674,75693
4, ,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),Total,1,14040,0,0,14040
5, , ,"[TRVch# 2664 Dt:21/06/2018] , Billno-MDI102262018100004",1,14040,0,0,14040
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,166644,14000,13490,139154
7, , ,"[TRVch# 1387 Dt:08/06/2018] , Billno-MDI10226052018-002",1,32222,14000,30,18192
8, , ,"[TRVch# 1388 Dt:08/06/2018] , Billno-MDI10226052018-003",1,134218,0,13441,120777
9, , ,"[TRVch# 2663 Dt:21/06/2018] , Billno-MDI102262018100003",1,204,0,19,185
10, ,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,Total,1,2450,0,0,2450
11, , ,"[TRVch# 2665 Dt:21/06/2018] , Billno-MDI102262018100005",1,2450,0,0,2450
0,Grand Total, , ,3,249051,14000,19261,215790
1,MDI10-226-GSSS POKHI,Total, ,3,249051,14000,19261,215790
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,82611,0,5790,76821
3, , ,"[TRVch# 1359 Dt:07/07/2018] , Billno-MDI10226062018-001",1,82611,0,5790,76821
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,166440,14000,13471,138969
5, , ,"[TRVch# 1360 Dt:07/07/2018] , Billno-MDI10226062018-002",1,32222,14000,30,18192
6, , ,"[TRVch# 1361 Dt:07/07/2018] , Billno-MDI10226062018-003",1,134218,0,13441,120777
0,Grand Total, , ,4,263091,14000,19261,229830
1,MDI10-226-GSSS POKHI,Total, ,4,263091,14000,19261,229830
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,82611,0,5790,76821
3, , ,"[TRVch# 885 Dt:07/08/2018] , Billno-MDI10226072018-001",1,82611,0,5790,76821
4, ,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),Total,1,14040,0,0,14040
5, , ,"[TRVch# 2691 Dt:23/08/2018] , Billno-MDI102262018100006",1,14040,0,0,14040
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,166440,14000,13471,138969
7, , ,"[TRVch# 886 Dt:07/08/2018] , Billno-MDI10226072018-002",1,32222,14000,30,18192
8, , ,"[TRVch# 887 Dt:07/08/2018] , Billno-MDI10226072018-003",1,134218,0,13441,120777
