,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
7, , ,"[TRVch# 43 Dt:07/02/2018] , Billno-KNG09537012018-004",1,243265,0,24190,219075
8, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,4,447608,150250,4257,293101
9, , ,"[TRVch# 194 Dt:19/02/2018] , Billno-KNG095372017100066",1,33792,0,0,33792
10, , ,"[TRVch# 195 Dt:19/02/2018] , Billno-KNG095372017100065",1,19353,0,0,19353
11, , ,"[TRVch# 98 Dt:07/02/2018] , Billno-KNG09537012018-005",1,333174,150250,1001,181923
12, , ,"[TRVch# 99 Dt:07/02/2018] , Billno-KNG09537012018-006",1,61289,0,3256,58033
13, ,05-2053-00-093-01-S00N-V-N-02-WAGES,Total,1,6510,0,0,6510
14, , ,"[TRVch# 193 Dt:19/02/2018] , Billno-KNG095372017100063",1,6510,0,0,6510
15, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,2,204516,83000,11887,109629
16, , ,"[TRVch# 100 Dt:07/02/2018] , Billno-KNG09537012018-007",1,71926,20000,5060,46866
17, , ,"[TRVch# 101 Dt:07/02/2018] , Billno-KNG09537012018-008",1,132590,63000,6827,62763
0,Grand Total, , ,18,1836875,426250,126999,1283626
1,KNG09-537-TEHSILDAR BAIJNATH,Total, ,18,1836875,426250,126999,1283626
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,3,736451,143000,53901,539550
3, , ,"[TRVch# 185 Dt:19/03/2018] , Billno-KNG095372017100071",1,25853,0,0,25853
4, , ,"[TRVch# 74 Dt:08/03/2018] , Billno-KNG09537022018-001",1,485027,143000,32960,309067
5, , ,"[TRVch# 75 Dt:08/03/2018] , Billno-KNG09537022018-002",1,225571,0,20941,204630
6, ,05-2029-00-103-04-S00N-V-N-01-SALARIES,Total,2,352083,44000,31926,276157
7, , ,"[TRVch# 76 Dt:08/03/2018] , Billno-KNG09537022018-003",1,102678,44000,7736,50942
8, , ,"[TRVch# 77 Dt:08/03/2018] , Billno-KNG09537022018-004",1,249405,0,24190,225215
9, ,05-2029-00-103-04-S00N-V-N-05-OFFICE EXPENSES,Total,5,41608,0,0,41608
10, , ,"[TRVch# 181 Dt:19/03/2018] , Billno-KNG095372017100069",1,1700,0,0,1700
11, , ,"[TRVch# 260 Dt:27/03/2018] , Billno-KNG095372017100073",1,15018,0,0,15018
12, , ,"[TRVch# 261 Dt:27/03/2018] , Billno-KNG095372017100074",1,1396,0,0,1396
13, , ,"[TRVch# 262 Dt:27/03/2018] , Billno-KNG095372017100075",1,3467,0,0,3467
14, , ,"[TRVch# 265 Dt:27/03/2018] , Billno-KNG095372017100077",1,20027,0,0,20027
15, ,05-2029-00-103-04-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,1,34570,0,0,34570
16, , ,"[TRVch# 264 Dt:27/03/2018] , Billno-KNG095372017100076",1,34570,0,0,34570
17, ,05-2030-03-001-01-S00N-V-N-01-SALARIES,Total,1,36000,0,0,36000
18, , ,"[TRVch# 379 Dt:31/03/2018] , Billno-KNG095372017100072",1,36000,0,0,36000
19, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,3,419197,156250,12115,250832
20, , ,"[TRVch# 104 Dt:08/03/2018] , Billno-KNG09537022018-005",1,344832,156250,8859,179723
21, , ,"[TRVch# 105 Dt:08/03/2018] , Billno-KNG09537022018-006",1,71959,0,3256,68703
22, , ,"[TRVch# 214 Dt:19/03/2018] , Billno-KNG095372017100068",1,2406,0,0,2406
23, ,05-2053-00-093-01-S00N-V-N-02-WAGES,Total,1,5880,0,0,5880
24, , ,"[TRVch# 226 Dt:19/03/2018] , Billno-KNG095372017100070",1,5880,0,0,5880
25, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,2,211086,83000,29057,99029
26, , ,"[TRVch# 106 Dt:08/03/2018] , Billno-KNG09537022018-007",1,74226,20000,10704,43522
27, , ,"[TRVch# 107 Dt:08/03/2018] , Billno-KNG09537022018-008",1,136860,63000,18353,55507
0,Grand Total, , ,8,1591016,392250,47376,1151390
1,KNG09-537-TEHSILDAR BAIJNATH,Total, ,8,1591016,392250,47376,1151390
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,2,609862,133000,15985,460877
3, , ,"[TRVch# 23 Dt:06/04/2018] , Billno-KNG09537032018-001",1,384291,133000,788,250503
4, , ,"[TRVch# 24 Dt:06/04/2018] , Billno-KNG09537032018-002",1,225571,0,15197,210374
5, ,05-2029-00-103-04-S00N-V-N-01-SALARIES,Total,2,352083,45000,24450,282633
6, , ,"[TRVch# 25 Dt:06/04/2018] , Billno-KNG09537032018-003",1,102678,45000,260,57418
7, , ,"[TRVch# 26 Dt:06/04/2018] , Billno-KNG09537032018-004",1,249405,0,24190,225215
