,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
24, ,08-2202-02-109-01-S00N-V-N-02-WAGES,Total,2,12390,0,0,12390
25, , ,"[TRVch# 3234 Dt:17/03/2018] , Billno-KNG142052017100064",1,5880,0,0,5880
26, , ,"[TRVch# 9400 Dt:31/03/2018] , Billno-KNG142052017100080",1,6510,0,0,6510
27, ,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,Total,2,11167,0,0,11167
28, , ,"[TRVch# 9337 Dt:31/03/2018] , Billno-KNG142052017100073",1,2367,0,0,2367
29, , ,"[TRVch# 9399 Dt:31/03/2018] , Billno-KNG142052017100082",1,8800,0,0,8800
30, ,08-2202-02-800-01-S00N-V-N-41-GIA GENERAL (Salary),Total,2,37910,0,0,37910
31, , ,"[TRVch# 3233 Dt:17/03/2018] , Billno-KNG142052017100065",1,18955,0,0,18955
32, , ,"[TRVch# 9401 Dt:31/03/2018] , Billno-KNG142052017100081",1,18955,0,0,18955
33, ,19-2235-60-800-73-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,1,15795,0,0,15795
34, , ,"[TRVch# 2569 Dt:31/03/2018] , Billno-KNG142052017100062",1,15795,0,0,15795
35, ,32-2202-01-789-15-S00N-V-P-41-GIA GENERAL (Salary),Total,1,2600,0,0,2600
36, , ,"[TRVch# 9373 Dt:31/03/2018] , Billno-KNG142052017100076",1,2600,0,0,2600
0,Grand Total, , ,5,797713,150000,57228,590485
1,KNG14-205-GSSS AERLA,Total, ,5,797713,150000,57228,590485
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,290350,0,25889,264461
3, , ,"[TRVch# 735 Dt:06/04/2018] , Billno-KNG14205032018-001",1,68056,0,9,68047
4, , ,"[TRVch# 736 Dt:06/04/2018] , Billno-KNG14205032018-002",1,222294,0,25880,196414
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,507363,150000,31339,326024
6, , ,"[TRVch# 737 Dt:06/04/2018] , Billno-KNG14205032018-003",1,89696,50000,60,39636
7, , ,"[TRVch# 738 Dt:06/04/2018] , Billno-KNG14205032018-004",1,277569,100000,185,177384
8, , ,"[TRVch# 739 Dt:06/04/2018] , Billno-KNG14205032018-005",1,140098,0,31094,109004
0,Grand Total, , ,11,884165,150000,73657,660508
1,KNG14-205-GSSS AERLA,Total, ,11,884165,150000,73657,660508
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,247036,0,25090,221946
3, , ,"[TRVch# 943 Dt:05/05/2018] , Billno-KNG14205042018-001",1,33400,0,0,33400
4, , ,"[TRVch# 944 Dt:05/05/2018] , Billno-KNG14205042018-002",1,213636,0,25090,188546
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,5,609902,150000,48567,411335
6, , ,"[TRVch# 2752 Dt:18/05/2018] , Billno-KNG142052018100005",1,18751,0,0,18751
7, , ,"[TRVch# 945 Dt:05/05/2018] , Billno-KNG14205042018-003",1,89696,50000,16060,23636
8, , ,"[TRVch# 946 Dt:05/05/2018] , Billno-KNG14205042018-004",1,230205,100000,6150,124055
9, , ,"[TRVch# 947 Dt:05/05/2018] , Billno-KNG14205042018-005",1,232302,0,22756,209546
10, , ,"[TRVch# 985 Dt:05/05/2018] , Billno-KNG142052018100001",1,38948,0,3601,35347
11, ,08-2202-02-109-01-S00N-V-N-02-WAGES,Total,1,6750,0,0,6750
12, , ,"[TRVch# 993 Dt:05/05/2018] , Billno-KNG142052018100002",1,6750,0,0,6750
13, ,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,Total,2,13457,0,0,13457
14, , ,"[TRVch# 2751 Dt:18/05/2018] , Billno-KNG142052018100004",1,2154,0,0,2154
15, , ,"[TRVch# 2753 Dt:18/05/2018] , Billno-KNG142052018100003",1,11303,0,0,11303
16, ,32-2202-01-789-15-S00N-V-P-41-GIA GENERAL (Salary),Total,1,7020,0,0,7020
17, , ,"[TRVch# 2760 Dt:18/05/2018] , Billno-KNG142052018100006",1,7020,0,0,7020
0,Grand Total, , ,9,880661,150000,65086,665575
1,KNG14-205-GSSS AERLA,Total, ,9,880661,150000,65086,665575
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,265787,0,19627,246160
3, , ,"[TRVch# 2691 Dt:08/06/2018] , Billno-KNG14205052018-001",1,52151,0,0,52151
4, , ,"[TRVch# 2692 Dt:08/06/2018] , Billno-KNG14205052018-002",1,213636,0,19627,194009
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,557487,150000,45459,362028
6, , ,"[TRVch# 2693 Dt:08/06/2018] , Billno-KNG14205052018-003",1,89696,50000,16060,23636
7, , ,"[TRVch# 2694 Dt:08/06/2018] , Billno-KNG14205052018-004",1,230205,100000,6150,124055
8, , ,"[TRVch# 2695 Dt:08/06/2018] , Billno-KNG14205052018-005",1,237586,0,23249,214337
9, ,08-2202-02-109-01-S00N-V-N-02-WAGES,Total,1,6975,0,0,6975
10, , ,"[TRVch# 2733 Dt:08/06/2018] , Billno-KNG142052018100007",1,6975,0,0,6975
11, ,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,Total,1,3382,0,0,3382
