,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
23, , ,"[TRVch# 81 Dt:06/03/2018] , Billno-KNR03200022018-006",1,143976,0,18136,125840
24, ,31-2202-02-796-03-S00N-V-N-05-OFFICE EXPENSES,Total,1,2830,0,0,2830
25, , ,"[TRVch# 447 Dt:15/03/2018] , Billno-KNR032002017100062",1,2830,0,0,2830
26, ,31-2202-02-796-03-S00N-V-P-02-WAGES,Total,2,31763,0,0,31763
27, , ,"[TRVch# 1017 Dt:31/03/2018] , Billno-KNR032002017100067",1,8138,0,0,8138
28, , ,"[TRVch# 137 Dt:06/03/2018] , Billno-KNR032002017100059",1,23625,0,0,23625
0,Grand Total, , ,8,1100959,256000,48598,796361
1,KNR03-200-GSSS MOORANG,Total, ,8,1100959,256000,48598,796361
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,2,250000,0,0,250000
3, , ,"[TRVch# 118 Dt:24/04/2018] , Billno-KNR032002018100001",1,200000,0,0,200000
4, , ,"[TRVch# 119 Dt:24/04/2018] , Billno-KNR032002018100002",1,50000,0,0,50000
5, ,31-2202-01-796-10-S00N-V-P-01-SALARIES,Total,1,36085,0,334,35751
6, , ,"[TRVch# 144 Dt:09/04/2018] , Billno-KNR03200032018-001",1,36085,0,334,35751
7, ,31-2202-02-796-02-S00N-V-N-01-SALARIES,Total,2,152568,55000,11100,86468
8, , ,"[TRVch# 145 Dt:09/04/2018] , Billno-KNR03200032018-002",1,114554,55000,9178,50376
9, , ,"[TRVch# 146 Dt:09/04/2018] , Billno-KNR03200032018-003",1,38014,0,1922,36092
10, ,31-2202-02-796-03-S00N-V-N-01-SALARIES,Total,3,662306,201000,37164,424142
11, , ,"[TRVch# 147 Dt:09/04/2018] , Billno-KNR03200032018-004",1,78736,30000,5288,43448
12, , ,"[TRVch# 148 Dt:09/04/2018] , Billno-KNR03200032018-005",1,349594,171000,13240,165354
13, , ,"[TRVch# 149 Dt:09/04/2018] , Billno-KNR03200032018-006",1,233976,0,18636,215340
0,Grand Total, , ,7,1302217,256000,48715,997502
1,KNR03-200-GSSS MOORANG,Total, ,7,1302217,256000,48715,997502
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,450000,0,0,450000
3, , ,"[TRVch# 34 Dt:07/05/2018] , Billno-KNR032002018100003",1,450000,0,0,450000
4, ,31-2202-01-796-10-S00N-V-P-01-SALARIES,Total,1,17915,0,106,17809
5, , ,"[TRVch# 152 Dt:07/05/2018] , Billno-KNR03200042018-001",1,17915,0,106,17809
6, ,31-2202-02-796-02-S00N-V-N-01-SALARIES,Total,2,154194,55000,11100,88094
7, , ,"[TRVch# 153 Dt:07/05/2018] , Billno-KNR03200042018-002",1,115580,55000,9178,51402
8, , ,"[TRVch# 154 Dt:07/05/2018] , Billno-KNR03200042018-003",1,38614,0,1922,36692
9, ,31-2202-02-796-03-S00N-V-N-01-SALARIES,Total,3,680108,201000,37509,441599
10, , ,"[TRVch# 155 Dt:07/05/2018] , Billno-KNR03200042018-004",1,78436,30000,5288,43148
