,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,3,1014527,302549,18907,693071
3, , ,"[TRVch# 135 Dt:21/10/2017] , Billno-KNG025372017100046",1,43430,0,0,43430
4, , ,"[TRVch# 52 Dt:07/10/2017] , Billno-KNG02537092017-001",1,787968,302549,11729,473690
5, , ,"[TRVch# 53 Dt:07/10/2017] , Billno-KNG02537092017-002",1,183129,0,7178,175951
6, ,05-2029-00-103-04-S00N-V-N-01-SALARIES,Total,1,167186,55000,4048,108138
7, , ,"[TRVch# 54 Dt:07/10/2017] , Billno-KNG02537092017-003",1,167186,55000,4048,108138
8, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,2,314015,55000,13468,245547
9, , ,"[TRVch# 75 Dt:07/10/2017] , Billno-KNG02537092017-004",1,174593,55000,2898,116695
10, , ,"[TRVch# 76 Dt:07/10/2017] , Billno-KNG02537092017-005",1,139422,0,10570,128852
11, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,1,130371,18000,2020,110351
12, , ,"[TRVch# 77 Dt:07/10/2017] , Billno-KNG02537092017-006",1,130371,18000,2020,110351
0,Grand Total, , ,15,1947203,615097,50356,1281750
1,KNG02-537-TEHSILDAR DEHRA,Total, ,15,1947203,615097,50356,1281750
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,6,1183481,399665,21239,762577
3, , ,"[TRVch# 168 Dt:30/11/2017] , Billno-KNG025372017100049",1,102767,93116,744,8907
4, , ,"[TRVch# 169 Dt:30/11/2017] , Billno-KNG025372017100050",1,9728,0,976,8752
5, , ,"[TRVch# 170 Dt:30/11/2017] , Billno-KNG025372017100058",1,43430,0,0,43430
6, , ,"[TRVch# 171 Dt:30/11/2017] , Billno-KNG025372017100056",1,43430,0,0,43430
7, , ,"[TRVch# 29 Dt:07/11/2017] , Billno-KNG02537102017-001",1,797546,306549,11897,479100
8, , ,"[TRVch# 30 Dt:07/11/2017] , Billno-KNG02537102017-002",1,186580,0,7622,178958
9, ,05-2029-00-103-02-S00N-V-N-05-OFFICE EXPENSES,Total,1,451,0,0,451
10, , ,"[TRVch# 174 Dt:30/11/2017] , Billno-KNG025372017100045",1,451,0,0,451
11, ,05-2029-00-103-04-S00N-V-N-01-SALARIES,Total,2,181795,60000,4104,117691
12, , ,"[TRVch# 172 Dt:30/11/2017] , Billno-KNG025372017100057",1,12493,0,0,12493
13, , ,"[TRVch# 31 Dt:07/11/2017] , Billno-KNG02537102017-003",1,169302,60000,4104,105198
14, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,4,373404,77432,14994,280978
15, , ,"[TRVch# 258 Dt:30/11/2017] , Billno-KNG025372017100052",1,22432,22432,0,0
16, , ,"[TRVch# 259 Dt:30/11/2017] , Billno-KNG025372017100053",1,15824,0,1394,14430
17, , ,"[TRVch# 47 Dt:07/11/2017] , Billno-KNG02537102017-004",1,193878,55000,2898,135980
18, , ,"[TRVch# 48 Dt:07/11/2017] , Billno-KNG02537102017-005",1,141270,0,10702,130568
19, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,2,208072,78000,10019,120053
20, , ,"[TRVch# 49 Dt:07/11/2017] , Billno-KNG02537102017-006",1,72752,30000,4120,38632
