,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
4, , ,"[TRVch# 4069 Dt:19/03/2018] , Billno-KNG042442017100027",1,46648,29462,618,16568
5, , ,"[TRVch# 6713 Dt:27/03/2018] , Billno-KNG042442017100031",1,100,0,0,100
6, ,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,Total,1,474,0,0,474
7, , ,"[TRVch# 7894 Dt:31/03/2018] , Billno-KNG042442017100032",1,474,0,0,474
8, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,6,338263,182614,57466,98183
9, , ,"[TRVch# 1239 Dt:08/03/2018] , Billno-KNG04244022018-002",1,84338,45000,16669,22669
10, , ,"[TRVch# 1240 Dt:08/03/2018] , Billno-KNG04244022018-003",1,75654,40000,10266,25388
11, , ,"[TRVch# 1241 Dt:08/03/2018] , Billno-KNG04244022018-004",1,38800,0,8491,30309
12, , ,"[TRVch# 4070 Dt:19/03/2018] , Billno-KNG042442017100028",1,63040,52663,10377,0
13, , ,"[TRVch# 4071 Dt:19/03/2018] , Billno-KNG042442017100030",1,19817,0,0,19817
14, , ,"[TRVch# 4072 Dt:19/03/2018] , Billno-KNG042442017100029",1,56614,44951,11663,0
0,Grand Total, , ,4,330479,95000,24985,210494
1,KNG04-244-GHS KOPRA,Total, ,4,330479,95000,24985,210494
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,131687,10000,16374,105313
3, , ,"[TRVch# 1626 Dt:06/04/2018] , Billno-KNG04244032018-001",1,131687,10000,16374,105313
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,198792,85000,8611,105181
5, , ,"[TRVch# 1627 Dt:06/04/2018] , Billno-KNG04244032018-002",1,84338,45000,60,39278
6, , ,"[TRVch# 1628 Dt:06/04/2018] , Billno-KNG04244032018-003",1,75654,40000,60,35594
7, , ,"[TRVch# 1629 Dt:06/04/2018] , Billno-KNG04244032018-004",1,38800,0,8491,30309
0,Grand Total, , ,7,334958,97000,17975,219983
1,KNG04-244-GHS KOPRA,Total, ,7,334958,97000,17975,219983
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,96181,12000,3339,80842
3, , ,"[TRVch# 1372 Dt:05/05/2018] , Billno-KNG04244042018-001",1,96181,12000,3339,80842
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,236727,85000,14636,137091
5, , ,"[TRVch# 1373 Dt:05/05/2018] , Billno-KNG04244042018-002",1,84338,45000,6060,33278
6, , ,"[TRVch# 1374 Dt:05/05/2018] , Billno-KNG04244042018-003",1,75654,40000,5060,30594
7, , ,"[TRVch# 1375 Dt:05/05/2018] , Billno-KNG04244042018-004",1,75206,0,3516,71690
8, , ,"[TRVch# 1453 Dt:05/05/2018] , Billno-KNG042442018100003",1,1529,0,0,1529
9, ,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,Total,2,2050,0,0,2050
10, , ,"[TRVch# 1451 Dt:05/05/2018] , Billno-KNG042442018100001",1,1650,0,0,1650
11, , ,"[TRVch# 1452 Dt:05/05/2018] , Billno-KNG042442018100002",1,400,0,0,400
0,Grand Total, , ,5,332399,97000,18020,217379
1,KNG04-244-GHS KOPRA,Total, ,5,332399,97000,18020,217379
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,96181,12000,3339,80842
3, , ,"[TRVch# 1081 Dt:08/06/2018] , Billno-KNG04244052018-001",1,96181,12000,3339,80842
4, ,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,Total,1,538,0,0,538
5, , ,"[TRVch# 4040 Dt:30/06/2018] , Billno-KNG042442018100004",1,538,0,0,538
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,235680,85000,14681,135999
7, , ,"[TRVch# 1082 Dt:08/06/2018] , Billno-KNG04244052018-002",1,84338,45000,6060,33278
8, , ,"[TRVch# 1083 Dt:08/06/2018] , Billno-KNG04244052018-003",1,75654,40000,5060,30594
9, , ,"[TRVch# 1084 Dt:08/06/2018] , Billno-KNG04244052018-004",1,75688,0,3561,72127
0,Grand Total, , ,4,350811,97000,23899,229912
1,KNG04-244-GHS KOPRA,Total, ,4,350811,97000,23899,229912
