,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
3, , ,"[TRVch# 121 Dt:01/02/2018] , Billno-MDI00250012018-001",1,56122,0,2158,53964
4, , ,"[TRVch# 122 Dt:01/02/2018] , Billno-MDI00250012018-002",1,59582,0,3972,55610
5, , ,"[TRVch# 2515 Dt:17/02/2018] , Billno-MDI002502017100037",1,3006,0,300,2706
6, , ,"[TRVch# 2516 Dt:17/02/2018] , Billno-MDI002502017100038",1,1626,0,162,1464
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,486212,120000,26599,339613
8, , ,"[TRVch# 123 Dt:01/02/2018] , Billno-MDI00250012018-003",1,82527,30000,6860,45667
9, , ,"[TRVch# 124 Dt:01/02/2018] , Billno-MDI00250012018-004",1,226108,55000,7301,163807
10, , ,"[TRVch# 125 Dt:01/02/2018] , Billno-MDI00250012018-005",1,154248,35000,10280,108968
11, , ,"[TRVch# 126 Dt:01/02/2018] , Billno-MDI00250012018-006",1,23329,0,2158,21171
0,Grand Total, , ,27,1067710,318942,120579,628189
1,MDI00-250-GSSS NISHU,Total, ,27,1067710,318942,120579,628189
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,5,175188,0,8104,167084
3, , ,"[TRVch# 142 Dt:01/03/2018] , Billno-MDI00250022018-001",1,56845,0,2158,54687
4, , ,"[TRVch# 143 Dt:01/03/2018] , Billno-MDI00250022018-002",1,60919,0,4362,56557
5, , ,"[TRVch# 2608 Dt:17/03/2018] , Billno-MDI002502017100044",1,30662,0,1584,29078
6, , ,"[TRVch# 2609 Dt:17/03/2018] , Billno-MDI002502017100043",1,17560,0,0,17560
7, , ,"[TRVch# 2756 Dt:19/03/2018] , Billno-MDI002502017100049",1,9202,0,0,9202
8, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,19,882522,318942,112475,451105
9, , ,"[TRVch# 144 Dt:01/03/2018] , Billno-MDI00250022018-003",1,85172,30000,8998,46174
10, , ,"[TRVch# 145 Dt:01/03/2018] , Billno-MDI00250022018-004",1,231873,55000,12363,164510
11, , ,"[TRVch# 146 Dt:01/03/2018] , Billno-MDI00250022018-005",1,159152,35000,21998,102154
12, , ,"[TRVch# 147 Dt:01/03/2018] , Billno-MDI00250022018-006",1,24052,0,2158,21894
13, , ,"[TRVch# 232 Dt:06/03/2018] , Billno-MDI002502017100032",1,870,0,0,870
14, , ,"[TRVch# 233 Dt:06/03/2018] , Billno-MDI002502017100039",1,2386,0,0,2386
15, , ,"[TRVch# 234 Dt:06/03/2018] , Billno-MDI002502017100041",1,8709,8709,0,0
16, , ,"[TRVch# 235 Dt:06/03/2018] , Billno-MDI002502017100040",1,5772,4618,1154,0
17, , ,"[TRVch# 236 Dt:06/03/2018] , Billno-MDI002502017100042",1,4596,4596,0,0
18, , ,"[TRVch# 237 Dt:06/03/2018] , Billno-MDI002502017100036",1,1626,0,162,1464
19, , ,"[TRVch# 238 Dt:06/03/2018] , Billno-MDI002502017100035",1,3936,0,396,3540
20, , ,"[TRVch# 239 Dt:06/03/2018] , Billno-MDI002502017100034",1,2502,0,0,2502
21, , ,"[TRVch# 240 Dt:06/03/2018] , Billno-MDI002502017100033",1,1116,0,0,1116
22, , ,"[TRVch# 2604 Dt:17/03/2018] , Billno-MDI002502017100048",1,63506,50424,13082,0
23, , ,"[TRVch# 2605 Dt:17/03/2018] , Billno-MDI002502017100047",1,17560,0,0,17560
24, , ,"[TRVch# 2606 Dt:17/03/2018] , Billno-MDI002502017100046",1,102578,74001,19201,9376
25, , ,"[TRVch# 2607 Dt:17/03/2018] , Billno-MDI002502017100045",1,102097,39794,19569,42734
26, , ,"[TRVch# 8319 Dt:29/03/2018] , Billno-MDI002502017100058",1,19672,0,4052,15620
27, , ,"[TRVch# 8320 Dt:29/03/2018] , Billno-MDI002502017100057",1,45347,16800,9342,19205
28, ,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,Total,3,10000,0,0,10000
29, , ,"[TRVch# 8316 Dt:29/03/2018] , Billno-MDI002502017100061",1,1126,0,0,1126
30, , ,"[TRVch# 8317 Dt:29/03/2018] , Billno-MDI002502017100060",1,1700,0,0,1700
31, , ,"[TRVch# 8318 Dt:29/03/2018] , Billno-MDI002502017100059",1,7174,0,0,7174
0,Grand Total, , ,6,620936,120000,14929,486007
1,MDI00-250-GSSS NISHU,Total, ,6,620936,120000,14929,486007
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,117986,0,6130,111856
3, , ,"[TRVch# 142 Dt:03/04/2018] , Billno-MDI00250032018-001",1,57067,0,2158,54909
4, , ,"[TRVch# 143 Dt:03/04/2018] , Billno-MDI00250032018-002",1,60919,0,3972,56947
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,502950,120000,8799,374151
6, , ,"[TRVch# 144 Dt:03/04/2018] , Billno-MDI00250032018-003",1,85172,30000,60,55112
7, , ,"[TRVch# 145 Dt:03/04/2018] , Billno-MDI00250032018-004",1,232618,55000,1301,176317
8, , ,"[TRVch# 146 Dt:03/04/2018] , Billno-MDI00250032018-005",1,161108,35000,5280,120828
9, , ,"[TRVch# 147 Dt:03/04/2018] , Billno-MDI00250032018-006",1,24052,0,2158,21894
0,Grand Total, , ,6,585224,140000,28251,416973
1,MDI00-250-GSSS NISHU,Total, ,6,585224,140000,28251,416973
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,77418,0,2158,75260
3, , ,"[TRVch# 147 Dt:01/05/2018] , Billno-MDI00250042018-001",1,58667,0,2158,56509
4, , ,"[TRVch# 148 Dt:01/05/2018] , Billno-MDI00250042018-002",1,18751,0,0,18751
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,507806,140000,26093,341713
6, , ,"[TRVch# 149 Dt:01/05/2018] , Billno-MDI00250042018-003",1,85172,30000,7060,48112
7, , ,"[TRVch# 150 Dt:01/05/2018] , Billno-MDI00250042018-004",1,235468,70000,5301,160167
8, , ,"[TRVch# 151 Dt:01/05/2018] , Billno-MDI00250042018-005",1,163114,40000,11574,111540
9, , ,"[TRVch# 152 Dt:01/05/2018] , Billno-MDI00250042018-006",1,24052,0,2158,21894
0,Grand Total, , ,8,1037054,140000,31688,865366
1,MDI00-250-GSSS NISHU,Total, ,8,1037054,140000,31688,865366
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,2,450000,0,0,450000
3, , ,"[TRVch# 12 Dt:01/06/2018] , Billno-MDI002502018100002",1,300000,0,0,300000
4, , ,"[TRVch# 29 Dt:04/06/2018] , Billno-MDI002502018100001",1,150000,0,0,150000
5, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,77418,0,2158,75260
6, , ,"[TRVch# 136 Dt:01/06/2018] , Billno-MDI00250052018-001",1,58667,0,2158,56509
7, , ,"[TRVch# 138 Dt:01/06/2018] , Billno-MDI00250052018-002",1,18751,0,0,18751
8, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,509636,140000,29530,340106
9, , ,"[TRVch# 137 Dt:01/06/2018] , Billno-MDI00250052018-003",1,85172,30000,7060,48112
10, , ,"[TRVch# 139 Dt:01/06/2018] , Billno-MDI00250052018-004",1,237298,70000,8738,158560
11, , ,"[TRVch# 140 Dt:01/06/2018] , Billno-MDI00250052018-005",1,163114,40000,11574,111540
12, , ,"[TRVch# 141 Dt:01/06/2018] , Billno-MDI00250052018-006",1,24052,0,2158,21894
0,Grand Total, , ,8,597378,140000,33302,424076
1,MDI00-250-GSSS NISHU,Total, ,8,597378,140000,33302,424076
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,86247,0,2158,84089
3, , ,"[TRVch# 110 Dt:02/07/2018] , Billno-MDI00250062018-001",1,58667,0,2158,56509
4, , ,"[TRVch# 111 Dt:02/07/2018] , Billno-MDI00250062018-002",1,18204,0,0,18204
5, , ,"[TRVch# 2340 Dt:16/07/2018] , Billno-MDI002502018100003",1,9376,0,0,9376
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,5,511131,140000,31144,339987
7, , ,"[TRVch# 112 Dt:02/07/2018] , Billno-MDI00250062018-003",1,85172,30000,7060,48112
8, , ,"[TRVch# 113 Dt:02/07/2018] , Billno-MDI00250062018-004",1,237298,70000,10252,157046
9, , ,"[TRVch# 114 Dt:02/07/2018] , Billno-MDI00250062018-005",1,164230,40000,11674,112556
10, , ,"[TRVch# 115 Dt:02/07/2018] , Billno-MDI00250062018-006",1,24052,0,2158,21894
11, , ,"[TRVch# 2341 Dt:16/07/2018] , Billno-MDI002502018100004",1,379,0,0,379
0,Grand Total, , ,6,609937,140000,33590,436347
1,MDI00-250-GSSS NISHU,Total, ,6,609937,140000,33590,436347
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,95783,0,2224,93559
3, , ,"[TRVch# 132 Dt:01/08/2018] , Billno-MDI00250072018-001",1,59377,0,2224,57153
4, , ,"[TRVch# 133 Dt:01/08/2018] , Billno-MDI00250072018-002",1,36406,0,0,36406
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,514154,140000,31366,342788
6, , ,"[TRVch# 134 Dt:01/08/2018] , Billno-MDI00250072018-003",1,85172,30000,7060,48112
7, , ,"[TRVch# 135 Dt:01/08/2018] , Billno-MDI00250072018-004",1,238314,70000,10252,158062
8, , ,"[TRVch# 136 Dt:01/08/2018] , Billno-MDI00250072018-005",1,165906,40000,11830,114076
9, , ,"[TRVch# 137 Dt:01/08/2018] , Billno-MDI00250072018-006",1,24762,0,2224,22538
