,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,431472,67070,15396,349006
7, , ,"[TRVch# 324 Dt:05/04/2018] , Billno-KLU02216032018-002",1,123876,25000,120,98756
8, , ,"[TRVch# 325 Dt:05/04/2018] , Billno-KLU02216032018-003",1,126420,42070,90,84260
9, , ,"[TRVch# 326 Dt:05/04/2018] , Billno-KLU02216032018-004",1,181176,0,15186,165990
0,Grand Total, , ,4,534880,115070,37752,382058
1,KLU02-216-GSSS SHOWAD,Total, ,4,534880,115070,37752,382058
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,51247,0,0,51247
3, , ,"[TRVch# 509 Dt:07/05/2018] , Billno-KLU02216042018-001",1,51247,0,0,51247
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,483633,115070,37752,330811
5, , ,"[TRVch# 510 Dt:07/05/2018] , Billno-KLU02216042018-002",1,123876,40000,20120,63756
6, , ,"[TRVch# 511 Dt:07/05/2018] , Billno-KLU02216042018-003",1,198482,75070,3870,119542
7, , ,"[TRVch# 512 Dt:07/05/2018] , Billno-KLU02216042018-004",1,161275,0,13762,147513
0,Grand Total, , ,7,584314,115070,46176,423068
1,KLU02-216-GSSS SHOWAD,Total, ,7,584314,115070,46176,423068
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,74162,0,0,74162
3, , ,"[TRVch# 547 Dt:06/06/2018] , Billno-KLU02216052018-001",1,53747,0,0,53747
4, , ,"[TRVch# 548 Dt:06/06/2018] , Billno-KLU02216052018-002",1,17915,0,0,17915
5, , ,"[TRVch# 863 Dt:20/06/2018] , Billno-KLU022162018100002",1,2500,0,0,2500
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,510152,115070,46176,348906
7, , ,"[TRVch# 549 Dt:06/06/2018] , Billno-KLU02216052018-003",1,123876,40000,20120,63756
8, , ,"[TRVch# 550 Dt:06/06/2018] , Billno-KLU02216052018-004",1,218487,75070,13870,129547
9, , ,"[TRVch# 551 Dt:06/06/2018] , Billno-KLU02216052018-005",1,165839,0,12186,153653
10, , ,"[TRVch# 864 Dt:20/06/2018] , Billno-KLU022162018100003",1,1950,0,0,1950
0,Grand Total, , ,6,589852,115070,46249,428533
1,KLU02-216-GSSS SHOWAD,Total, ,6,589852,115070,46249,428533
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,71662,0,0,71662
3, , ,"[TRVch# 544 Dt:09/07/2018] , Billno-KLU02216062018-001",1,53747,0,0,53747
4, , ,"[TRVch# 545 Dt:09/07/2018] , Billno-KLU02216062018-002",1,17915,0,0,17915
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,518190,115070,46249,356871
6, , ,"[TRVch# 546 Dt:09/07/2018] , Billno-KLU02216062018-003",1,123876,40000,20120,63756
7, , ,"[TRVch# 547 Dt:09/07/2018] , Billno-KLU02216062018-004",1,220899,75070,13870,131959
8, , ,"[TRVch# 548 Dt:09/07/2018] , Billno-KLU02216062018-005",1,166525,0,12250,154275
9, , ,"[TRVch# 949 Dt:24/07/2018] , Billno-KLU022162018100005",1,6890,0,9,6881
0,Grand Total, , ,5,600377,115070,51033,434274
1,KLU02-216-GSSS SHOWAD,Total, ,5,600377,115070,51033,434274
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,71662,0,0,71662
3, , ,"[TRVch# 623 Dt:07/08/2018] , Billno-KLU02216072018-001",1,53747,0,0,53747
4, , ,"[TRVch# 624 Dt:07/08/2018] , Billno-KLU02216072018-002",1,17915,0,0,17915
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,528715,115070,51033,362612
6, , ,"[TRVch# 625 Dt:07/08/2018] , Billno-KLU02216072018-003",1,123876,40000,20120,63756
7, , ,"[TRVch# 626 Dt:07/08/2018] , Billno-KLU02216072018-004",1,221019,75070,13870,132079
8, , ,"[TRVch# 627 Dt:07/08/2018] , Billno-KLU02216072018-005",1,183820,0,17043,166777
